120.0 6.9 3.2 5.7 2.3 
24.0 4.8 3.4 1.9 0.2 
136.0 6.3 3.4 5.6 2.4 
124.0 6.7 3.3 5.7 2.1 
67.0 5.8 2.7 4.1 1.0 
27.0 5.2 3.5 1.5 0.2 
34.0 4.9 3.1 1.5 0.2 
41.0 4.5 2.3 1.3 0.3 
4.0 5.0 3.6 1.4 0.2 
5.0 5.4 3.9 1.7 0.4 
54.0 6.5 2.8 4.6 1.5 
146.0 6.3 2.5 5.0 1.9 
149.0 5.9 3.0 5.1 1.8 
17.0 5.1 3.5 1.4 0.3 
10.0 5.4 3.7 1.5 0.2 
142.0 5.8 2.7 5.1 1.9 
83.0 6.0 2.7 5.1 1.6 
35.0 5.0 3.2 1.2 0.2 
74.0 6.4 2.9 4.3 1.3 
143.0 6.8 3.2 5.9 2.3 
50.0 7.0 3.2 4.7 1.4 
102.0 7.1 3.0 5.9 2.1 
61.0 5.9 3.0 4.2 1.5 
97.0 6.2 2.9 4.3 1.3 
78.0 6.0 2.9 4.5 1.5 
82.0 5.8 2.7 3.9 1.2 
84.0 5.4 3.0 4.5 1.5 
59.0 5.2 2.7 3.9 1.4 
22.0 4.6 3.6 1.0 0.2 
133.0 6.3 2.8 5.1 1.5 
94.0 5.6 2.7 4.2 1.3 
117.0 7.7 3.8 6.7 2.2 
116.0 6.5 3.0 5.5 1.8 
36.0 5.5 3.5 1.3 0.2 
0.0 5.1 3.5 1.4 0.2 
40.0 5.0 3.5 1.3 0.3 
134.0 6.1 2.6 5.6 1.4 
91.0 6.1 3.0 4.6 1.4 
76.0 6.8 2.8 4.8 1.4 
29.0 4.7 3.2 1.6 0.2 
45.0 4.8 3.0 1.4 0.3 
37.0 4.9 3.6 1.4 0.1 
47.0 4.6 3.2 1.4 0.2 
44.0 5.1 3.8 1.9 0.4 
148.0 6.2 3.4 5.4 2.3 
52.0 6.9 3.1 4.9 1.5 
93.0 5.0 2.3 3.3 1.0 
33.0 5.5 4.2 1.4 0.2 
98.0 5.1 2.5 3.0 1.1 
103.0 6.3 2.9 5.6 1.8 
88.0 5.6 3.0 4.1 1.3 
64.0 5.6 2.9 3.6 1.3 
138.0 6.0 3.0 4.8 1.8 
32.0 5.2 4.1 1.5 0.1 
144.0 6.7 3.3 5.7 2.5 
68.0 6.2 2.2 4.5 1.5 
8.0 4.4 2.9 1.4 0.2 
125.0 7.2 3.2 6.0 1.8 
28.0 5.2 3.4 1.4 0.2 
147.0 6.5 3.0 5.2 2.0 
106.0 4.9 2.5 4.5 1.7 
6.0 4.6 3.4 1.4 0.3 
75.0 6.6 3.0 4.4 1.4 
14.0 5.8 4.0 1.2 0.2 
58.0 6.6 2.9 4.6 1.3 
112.0 6.8 3.0 5.5 2.1 
65.0 6.7 3.1 4.4 1.4 
129.0 7.2 3.0 5.8 1.6 
92.0 5.8 2.6 4.0 1.2 
140.0 6.7 3.1 5.6 2.4 
73.0 6.1 2.8 4.7 1.2 
131.0 7.9 3.8 6.4 2.0 
105.0 7.6 3.0 6.6 2.1 
2.0 4.7 3.2 1.3 0.2 
108.0 6.7 2.5 5.8 1.8 
114.0 5.8 2.8 5.1 2.4 
