6,60100,1,58,2,1800.0,1,0,0,1,less 10k
6,61403,1,20,1,380.0,0,1,0,0,less 10k
6,60500,0,40,9,41500.0,0,0,0,1,40k-50k
6,68105,1,84,7,13600.0,0,0,0,0,10k-20k
6,66300,0,57,13,30300.0,0,0,0,1,30k-40k
6,68112,1,39,13,50000.0,0,0,0,0,40k-50k
6,68103,0,59,13,20500.0,0,0,0,0,20k-30k
6,66110,0,19,7,0.0,1,0,0,0,less 10k
6,62900,0,25,7,29000.0,1,0,0,1,20k-30k
6,62301,0,37,13,23000.0,0,0,1,1,20k-30k
6,60100,0,49,11,7500.0,0,0,0,1,less 10k
6,66110,0,71,9,27000.0,0,0,0,1,20k-30k
6,62001,1,38,11,29600.0,1,0,0,1,20k-30k
6,66900,0,23,9,13500.0,0,0,1,0,10k-20k
6,65000,0,57,15,586000.0,0,0,0,1,above 150k
6,66103,1,41,12,6700.0,0,0,1,0,less 10k
6,65403,0,71,1,32200.0,1,0,0,1,30k-40k
6,63800,1,41,9,650.0,0,1,0,0,less 10k
6,63401,0,59,2,0.0,1,0,0,1,less 10k
6,67605,0,68,9,18900.0,0,0,0,1,10k-20k
6,65421,1,20,10,5700.0,0,1,0,0,less 10k
6,68108,1,35,10,33000.0,0,0,0,1,30k-40k
6,67606,1,62,12,8000.0,0,0,0,1,less 10k
6,62306,0,84,9,5000.0,0,0,0,0,less 10k
6,65000,1,32,11,60200.0,0,0,0,1,60k-80k
6,65424,1,66,15,74000.0,0,0,0,0,60k-80k
6,62404,0,27,6,9200.0,1,0,0,0,less 10k
6,61503,0,27,9,32004.0,1,0,0,0,30k-40k
6,67200,1,93,11,0.0,0,0,0,0,less 10k
6,62104,1,27,13,30000.0,0,0,0,1,20k-30k
6,63402,1,49,9,26100.0,1,0,0,1,20k-30k
6,65406,1,42,2,0.0,1,0,0,1,less 10k
6,66116,1,35,8,33000.0,0,0,1,1,30k-40k
6,63401,0,44,2,0.0,0,0,0,0,less 10k
6,68101,0,63,13,15600.0,0,0,0,0,10k-20k
6,60100,1,64,7,16100.0,0,0,0,0,10k-20k
6,66200,0,45,3,14000.0,1,0,0,1,10k-20k
6,62206,1,55,9,0.0,0,0,1,1,less 10k
6,61902,1,42,12,12500.0,0,0,0,0,10k-20k
6,68103,1,42,9,25000.0,0,1,0,1,20k-30k
6,62702,0,30,13,92110.0,0,0,0,1,80k-100k
6,60200,0,39,7,17000.0,0,0,0,1,10k-20k
6,64600,0,41,7,25000.0,0,0,0,1,20k-30k
6,60800,0,52,12,34900.0,0,0,0,1,30k-40k
6,66119,0,25,9,21000.0,1,0,0,1,20k-30k
6,65410,1,44,14,157000.0,0,0,0,1,above 150k
6,66110,0,34,11,23800.0,1,0,0,1,20k-30k
6,62711,1,48,9,47000.0,1,0,0,0,40k-50k
6,66801,1,34,13,7000.0,0,0,0,0,less 10k
6,62302,0,25,13,32510.0,0,0,0,0,30k-40k
6,62410,1,31,13,45000.0,0,0,0,1,40k-50k
6,61505,1,53,5,7900.0,1,0,0,0,less 10k
6,61201,0,47,12,47000.0,0,0,0,1,40k-50k
6,68004,1,81,6,5300.0,1,0,0,1,less 10k
6,60100,1,25,9,5000.0,0,0,0,1,less 10k
6,64406,1,38,9,8100.0,0,0,0,0,less 10k
6,63701,0,38,9,36500.0,0,0,0,1,30k-40k
6,60300,1,24,9,6400.0,0,0,0,0,less 10k
6,66801,1,28,11,12000.0,0,0,0,0,10k-20k
6,62404,1,39,12,0.0,0,1,0,1,less 10k
6,63100,0,44,11,25400.0,1,0,0,0,20k-30k
6,63902,1,78,13,40000.0,0,0,0,0,30k-40k
6,62105,1,44,14,35000.0,0,0,0,1,30k-40k
6,68101,0,40,11,30300.0,0,0,0,0,30k-40k
6,66121,0,64,16,52400.0,0,0,0,1,50k-60k
6,61102,1,27,11,14700.0,0,0,0,1,10k-20k
6,62104,1,53,13,47500.0,0,0,0,1,40k-50k
6,68105,0,60,9,7260.0,0,0,0,1,less 10k
6,62201,1,77,9,14300.0,0,0,0,0,10k-20k
