fake_column_1,fake_column_2,fake_column_3
64,27,99
89,83,19
81,15,85
16,63,45
23,19,53
41,78,5
45,64,45
22,24,13
38,52,35
5,71,87
24,0,27
99,81,81
36,45,75
55,3,48
57,48,74
88,15,71
25,57,22
84,9,83
95,72,50
73,38,37
100,39,95
38,48,38
90,73,6
17,53,98
44,76,33
39,39,98
38,38,59
19,0,53
53,29,77
27,83,29
15,54,28
67,12,82
47,75,50
16,48,74
24,25,98
83,43,18
3,92,66
73,27,55
71,3,19
74,84,58
34,95,86
46,0,49
90,99,57
0,7,96
60,42,43
29,45,51
51,40,23
47,66,30
12,43,29
95,18,51
57,50,100
99,13,12
18,94,88
18,14,39
49,24,50
9,98,87
74,20,76
63,56,68
58,22,70
86,43,7
93,97,38
70,1,63
97,78,87
25,29,32
48,79,11
26,69,1
59,96,36
89,47,30
35,82,42
85,45,71
83,18,12
69,66,96
57,82,25
4,83,43
26,62,20
0,61,37
90,7,24
49,47,87
86,23,62
94,59,4
76,38,13
24,89,81
4,12,93
76,45,21
60,68,43
80,57,79
70,41,55
1,4,71
93,31,79
21,95,84
15,53,51
43,29,68
2,52,33
100,80,1
75,86,5
1,69,45
78,94,12
73,47,11
